<System.Math,Abs> <System.Enum,HasFlag>
<System.Linq.Enumerable,ToList> <System.Linq.Enumerable,ElementAt>
<System.Collections.Generic.List,Remove> <System.Collections.Generic.Dictionary,Add>
<System.String,IsNullOrWhiteSpace> <System.Uri,EscapeDataString>
<System.String,IsNullOrEmpty> <System.String,IsNullOrEmpty>
<System.Object,Equals> <System.String,IsNullOrEmpty>
<System.String,IsNullOrEmpty> <System.String,IsNullOrEmpty>
<System.String,IsNullOrEmpty> <System.String,IsNullOrEmpty>
<System.Collections.Generic.List,FindAll> <System.Collections.Generic.LinkedList,AddFirst>
<System.Linq.Enumerable,OrderBy> <System.Linq.Enumerable,ToList>
<System.Linq.IOrderedEnumerable,CreateOrderedEnumerable> <System.Linq.Enumerable,ElementAt>
<System.Linq.Enumerable,ToList> <System.Linq.Enumerable,ElementAt>
